ID,Job Title,Skills
1,Software Engineer,"Python, Java, SQL, C++, Git, REST APIs, Docker, Kubernetes"
2,Project Manager,"Project Management, CAD, MATLAB, Agile, Scrum, Risk Management, MS Project"
3,Electrical Engineer,"Circuit Design, Python, Simulink, PLC, PCB Design, Embedded Systems, VHDL"
4,Data Analyst,"Python, SQL, Tableau, R, Excel, Data Visualization, Power BI, Data Cleaning"
5,Structural Engineer,"AutoCAD, Revit, Project Management, Structural Analysis, STAAD Pro, Civil 3D"
6,Web Developer,"HTML, CSS, JavaScript, React, Node.js, TypeScript, Responsive Design, AJAX"
7,Machine Learning Engineer,"Python, TensorFlow, Keras, Pandas, Scikit-learn, NLP, Deep Learning, PyTorch"
8,Database Administrator,"SQL, Oracle, PostgreSQL, Data Modeling, Backup & Recovery, Indexing, Query Optimization"
9,Cybersecurity Analyst,"Network Security, Firewalls, IDS, IPS, Threat Analysis, Incident Response, Cryptography"
10,Marketing Specialist,"SEO, Content Creation, Google Analytics, SEM, Social Media Marketing, Copywriting"
11,Mobile App Developer,"Swift, Kotlin, Java, Android Studio, React Native, UI/UX Design, Firebase"
12,Cloud Solutions Architect,"AWS, Azure, Google Cloud, Docker, Kubernetes, Terraform, Cloud Security"
13,Financial Analyst,"Financial Modeling, Excel, Valuation, Risk Analysis, SQL, Forecasting, Bloomberg Terminal"
14,UX/UI Designer,"Adobe XD, Sketch, Figma, Prototyping, User Research, Wireframing, Interaction Design"
15,DevOps Engineer,"CI/CD, Jenkins, Ansible, Docker, Kubernetes, AWS, Terraform, Monitoring (Prometheus)"
16,Business Analyst,"Business Process Modeling, SQL, Requirements Gathering, Data Analysis, Tableau, MS Excel"
17,Human Resources Specialist,"Talent Acquisition, Employee Relations, Onboarding, Payroll, HRIS, Labor Laws"
18,Mechanical Engineer,"SolidWorks, ANSYS, CAD, MATLAB, Product Design, Thermodynamics, FEA"
19,Quality Assurance Engineer,"Selenium, JIRA, Test Cases, Python, Test Automation, Manual Testing, Performance Testing"
20,Content Writer,"Copywriting, SEO, Blogging, Social Media Content, Editing, WordPress, Research"
21,Network Engineer,"Cisco, Routing, Switching, Network Security, Firewall Configuration, TCP/IP, BGP"
22,Sales Manager,"Sales Strategy, CRM, Negotiation, B2B Sales, Customer Retention, Market Analysis"
23,Graphic Designer,"Photoshop, Illustrator, InDesign, Typography, Branding, Adobe Creative Suite"
24,IT Support Specialist,"Troubleshooting, Customer Service, Windows OS, Linux, Hardware Repair, Networking"
25,Front-End Developer,"HTML, CSS, JavaScript, Angular, Vue.js, SASS, UI/UX, Accessibility"
26,Data Scientist,"Python, R, Machine Learning, Data Wrangling, Big Data, Apache Spark, Deep Learning"
27,Product Manager,"Product Development, Agile, Roadmap Planning, A/B Testing, Market Research, User Stories"
28,Systems Analyst,"Business Analysis, Requirements Gathering, System Design, SQL, Process Improvement"
29,Biomedical Engineer,"Bioinformatics, Medical Devices, CAD, MATLAB, Research, Lab Techniques"
30,Supply Chain Analyst,"Supply Chain Management, Logistics, Inventory Control, Forecasting, ERP, Excel"
31,Environmental Scientist,"Environmental Impact, Field Sampling, Data Analysis, GIS, Report Writing, Risk Assessment"
32,E-commerce Specialist,"Shopify, SEO, Digital Marketing, Google Ads, Product Listings, Customer Engagement"
